Date,Value,,,,
1.6.03,11299,,,,
1.7.03,9846,,,,
1.8.03,10663,,,,
1.9.03,11479,,,,
1.10.03,8727,,,,
1.11.03,16608,,,,
1.12.03,19316,,,,
1.1.04,17225,,,,
1.2.04,10882,,,,
1.3.04,12434,,,,
1.4.04,17388,,,,
1.5.04,28064,,,,
1.6.04,27453,,,,
1.7.04,24852,,,,
1.8.04,21237,,,,
1.9.04,17622,,,,
1.10.04,19502,,,,
1.11.04,22407,,,,
1.12.04,21731,,,,
1.1.05,20811,,,,
1.2.05,24325,,,,
1.3.05,22535,,,,
1.4.05,28040,,,,
1.5.05,25194,,,,
1.6.05,26216,,,,
1.7.05,15334,,,,
1.8.05,14513,,,,
1.9.05,13692,,,,
1.10.05,17056,,,,
1.11.05,18999,,,,
1.12.05,25265,,,,
1.1.06,21839,,,,
1.2.06,25803,,,,
1.3.06,24185,,,,
1.4.06,33653,,,,
1.5.06,41150,,,,
1.6.06,37364,,,,
1.7.06,27925,,,,
1.8.06,23201,,,,
1.9.06,18477,,,,
1.10.06,28567,,,,
1.11.06,32309,,,,
1.12.06,35780,,,,
1.1.07,22388,,,,
1.2.07,22606,,,,
1.3.07,29867,,,,
1.4.07,49676,,,,
1.5.07,58472,,,,
1.6.07,56878,,,,
1.7.07,50452,,,,
1.8.07,57453,,,,
1.9.07,64453,,,,
1.10.07,67594,,,,
1.11.07,87755,,,,
1.12.07,91203,,,,
1.1.08,86192,,,,
1.2.08,65862,,,,
1.3.08,44125,,,,
1.4.08,32592,,,,
1.5.08,73906,,,,
1.6.08,88153,,,,
1.7.08,61572,,,,
1.8.08,59377,,,,
1.9.08,57181,,,,
1.10.08,57390,,,,
1.11.08,82148,,,,
1.12.08,105680,,,,
1.1.09,84969,,,,
1.2.09,67479,,,,
1.3.09,46207,,,,
1.4.09,56900,,,,
1.5.09,60193,,,,
1.6.09,72558,,,,
1.7.09,65351,,,,
1.8.09,61229,,,,
1.9.09,57107,,,,
1.10.09,51245,,,,
1.11.09,55346,,,,
1.12.09,97979,,,,
1.1.10,78393,,,,
1.2.10,31131,,,,
1.3.10,87120,,,,
1.4.10,108225,,,,
1.5.10,111944,,,,
1.6.10,108218,,,,
1.7.10,110032,,,,
1.8.10,125514,,,,
1.9.10,140995,,,,
1.10.10,161603,,,,
1.11.10,176440,,,,
1.12.10,225132,,,,
1.1.11,186586,,,,
1.2.11,179754,,,,
1.3.11,167257,,,,
1.4.11,207861,,,,
1.5.11,204527,,,,
1.6.11,254507,,,,
1.7.11,237658,,,,
1.8.11,267755,,,,
1.9.11,297852,,,,
1.10.11,235661,,,,
1.11.11,271915,,,,
1.12.11,283130,,,,
1.1.12,233904,,,,
1.2.12,212822,,,,
1.3.12,188488,,,,
1.4.12,215392,,,,
1.5.12,186158,,,,
1.6.12,199626,,,,
1.7.12,191854,,,,
1.8.12,209578,,,,
1.9.12,227302,,,,
1.10.12,204151,,,,
1.11.12,195228,,,,
1.12.12,228456,,,,
1.1.13,206281,,,,
1.2.13,218406,,,,
1.3.13,186014,,,,
1.4.13,198625,,,,
1.5.13,216070,,,,
1.6.13,209946,,,,
1.7.13,181874,,,,
1.8.13,168892,,,,
1.9.13,155910,,,,
1.10.13,154594,,,,
1.11.13,157297,,,,
1.12.13,214834,,,,
1.1.14,171486,,,,
1.2.14,177135,,,,
1.3.14,140817,,,,
1.4.14,142926,,,,
1.5.14,130838,,,,
1.6.14,113191,,,,
1.7.14,118243,,,,
1.8.14,121098,,,,
1.9.14,123952,,,,
1.10.14,74695,,,,
1.11.14,101320,,,,
1.12.14,95911,,,,
1.1.15,94403,,,,
1.2.15,77436,,,,
1.3.15,70595,,,,
1.4.15,98798,,,,
1.5.15,84061,,,,
1.6.15,87410,,,,
1.7.15,66710,,,,
1.8.15,75135,,,,
1.9.15,83560,,,,
1.10.15,87845,,,,
1.11.15,96327,,,,
1.12.15,93207,,,,
1.1.16,59114,,,,
1.2.16,61977,,,,
1.3.16,50044,,,,
1.4.16,55394,,,,
1.5.16,58756,,,,
1.6.16,72611,,,,
1.7.16,85703,,,,
1.8.16,84515,,,,
1.9.16,83326,,,,
1.10.16,89637,,,,
1.11.16,76851,,,,
1.12.16,150290,,,,
1.1.17,110888,,,,
1.2.17,140475,,,,
1.3.17,151096,,,,
1.4.17,149509,,,,
1.5.17,165513,,,,
1.6.17,118076,,,,
1.7.17,131185,,,,
1.8.17,108573,,,,
1.9.17,85961,,,,
1.10.17,30878,,,,
1.11.17,105062,,,,
1.12.17,161643,,,,
1.1.18,168626,,,,
1.2.18,107262,,,,
1.3.18,94902,,,,
1.4.18,97244,,,,
1.5.18,94796,,,,
1.6.18,98180,,,,
1.7.18,101346,,,,
1.8.18,118398,,,,
1.9.18,85541,,,,
1.10.18,135450,,,,
1.11.18,141404,,,,
